Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 26,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,2-Jun,,,,,,,,,,,,,,,
Conventional Deads with the wagon wheels - 245 max,50%x3 belt,60%x3 belt,70%x3x1-2 belt,75-80%x2-3x3-4 belt,video please,,,,,,,,,,,
" bar x10x2-3, 70-75x4-5x2-3, 105x3 belt",125 wagon wheels,145-147.5 wagon wheels,172.5 wagon wheels,185-197.5 wagon wheels,,,,,,,,,,,,
Bench- 180 max,50%x3 belt,60%x3 belt,70%x3x2 belt,77.5-80%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,127.5,140-145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,75%x2-3 belt,80-82.5%x2-3 belt,85-87.5%x1-2x2-3 belt,video please,,,,,,,,,,,,
,160,170-175,180-185,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 210 max,90-92.5%x1-2x2-3 belt,video please,,,,,,,,,,,,,,
,190-195,pause every rep,,,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-4x8,,pasue the top and down slow,,,,,,,,,,,,,
Hamstring Curls,2-3x10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:45-:60 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,3-Jun,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,4-Jun,,,,,,,,,,,,,,,
Bench- 180 max,50%x3,60%x3,70%x2-3x2 belt,75%x1-2x5 belt,video please,,,,,,,,,,,
"bar x8-10x3-4, 60-70x4-5x3-4",90,110,127.5,135,pause every rep,,,,,,,,,,,
2 second Paused Bench- 180 max,65-70%x1-2x2-3 belt,video please,,,,,,,,,,,,,,
,117.5-127.5,pause every rep,,,,,,,,,,,,,,
Leg Press,5-6x6,,,,,,,,,,,,,,,
Leg Extensions,3-4x6,or ,TKEs 3-4x10,,,,,,,,,,,,,
Wide Grip Lat Pulls,3-4x6,pause the end and go slow on the way up ,,,,,,,,,,,,,,
DB Flies,3-4x6,35-45 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x6,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,5-Jun,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
