Zach Jones 2024 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 3,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,23-Dec,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x6,60%x5,70%x4 belt,75%x3x2 belt,85%x2x2 belt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,135,145,pause every rep,,,,,,,,,,
85%x1-2x2 belt,80%x2-3x2 belt,75%x3-4x1-2 belt,70%x5 belt,60%x8,50%x10,video please,,,,,,,,,,
155,145,135,125-127.5,107.5-110,90,pause every rep,,,,,,,,,,
Squats- 230 max,50%x5 belt,60%x4 belt,70%x3x2 belt,77.5-80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115,140,162.5,177.5-185,,,,,,,,,,,,
DB Flies,3-4x8,35-45 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
DB Front Raises seated,2-4x8,35-45 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,24-Dec,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x5,60%x4,70%x3x2 belt,75-77.5%x2x2 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,135-140,pause every rep,,,,,,,,,,,
RAM Press- 205 max,75-77.5%x3x1-2 belt,82.5-85%x2x1-2 belt,90-92.5%x1-2x3 belt,video please,,,,,,,,,,,,
,155-160 RAM,170-175 RAM,185-190 RAM,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 205 max,95-100%x1-2x2-3 belt,video please,,,,,,,,,,,,,,
,195-205 RAM 2 bd,pause every rep,,,,,,,,,,,,,,
Conventional Deads - 245 max,50-52.5%x5 belt,60-62.5%x4 belt,70-72.5%x3x2 belt,80-82.5%x2-3x5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5",125-130,147.5-155,172.5-180,195-202.5,,,,,,,,,,,,
Pullups,3-4x10-12,pause the top and down slow,,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x10-12,pause the bottom and up slow,,,,,,,,,,,,,,
Front Elbow Bridge,2-4x:55-:65 Seconds,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,25-Dec,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,26-Dec,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,27-Dec,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x5,60%x4,70%x3x2 belt,80%x3x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x6x2",90,107.5-110,125-127.5,145,pause every rep,,,,,,,,,,,
RAM Press- 205 max,77.5-80%x3x1-2 belt,82.5-87.5%x3x3 belt,video please,,,,,,,,,,,,,
,160-165 RAM,170-180 RAM,pause every rep,,,,,,,,,,,,,
Squats- 230 max,50-52.5%x5 belt,60-62.5%x5x2 belt,67.5-72.5%x4-5x5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115-122.5,140-145,155-167.5,,,,,,,,,,,,,
Barbell Standing Shoulder Press,"bar x6-8, 3-4x3-5",50-70 kgs,video please,,,,,,,,,,,,,
DB Rear Delt Raises,3-4x8,35-45 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,28-Dec,,,,,,,,,,,,,,,
Bench- 175-180 max,52.5-55%x4-5,62.5-65%x3-4x2,72.5-75%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 60x5-6x1-2",95-100,115-117.5,130-135,pause every rep,,,,,,,,,,,,
