Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 9,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,3-Feb,,,,,,,,,,,,,,,
Equipped Squats- 270 max,50%x3 belt SD,60%x3 belt SD ,70%x2-3x1-2 belt  SD wraps,80%x1-2x1-2  belt SD/SU wraps,87.5-90%x1-2x3-4  belt SU wraps,video please,,,,,,,,,,
"bar x10x2-3, 75x4-5x2-3, 105-115x3 belt",135,162.5,190,217.5,235-242.5,new suit,,,,,,,,,,
Bench- 175-180 max,50%x3,60%x3,70%x3x2 belt,80%x3x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x4-5x2",90,107.5-110,125-127.5,145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175-180 max,72.5-75%x3x4 belt,video please,,,,,,,,,,,,,,
,130-135,pause every rep,,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x8,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,3-4x8,40-50 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,4-Feb,,,,,,,,,,,,,,,
30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,5-Feb,,,,,,,,,,,,,,,
Equipped Bench- 215 max,57.5-60%x1,65-67.5%x1 shirt,72.5-75%x1x1-2 shirt ,80-82.5%x1x1-2 belt shirt,85-90%x1x3-4 belt shirt,video please,wear your 42 RAGE X,,,,,,,,,
"bar x8-10x1-2, 60-70x3-4x1-2, 90-95x1, 110-115x1",125-130 slingshot or old Ram,140-145. 3-2.5 bd,157.5-162.5 2-1.5 bd,172.5-177.5. 1.5-1 bd,187.5-195  1-.5 bd,pause all reps,,,,,,,,,,
Equipped Board Press- 2 board - 215 max,90-97.5%x1x2-3 belt shirt,video please,wear your 42 RAGE X,,,,,,,,,,,,,
2 board,195-210,pause all reps,,,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50-55%x3 belt ,60-65%x3x2-3 belt ,70-75%x2x5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x4-5x2, 105-115x3",125-135,147.5-160,172.5-185,,,,,,,,,,,,,
Pullups,4-5x6-8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,4-5x6-8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,4-5x:55-:65 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,6-Feb,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,7-Feb,,,,,,,,,,,,,,,
Bench- 175 max,50%x3,60%x3,70%x3x2 belt,77.5-80%x2x2 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,105,125,135-140,pause every rep,,,,,,,,,,,
RAM Press- 205 max,70-75%x3 belt,75-80%x2-3 belt,82.5-85%x1-2x2-3 belt,video please,,,,,,,,,,,,
,145-155,155-165,170-175,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 205 max,87.5-90%x1-2x2 belt,video please,,,,,,,,,,,,,,
,180-185 RAM ,pause every rep,,,,,,,,,,,,,,
Squats- 230 max,50%x3 belt,60%x3 belt,70%x3x2 belt,75%x2x4-5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x5-6x1-2",115,140,162.5,172.5-175,,,,,,,,,,,,
Overhead Shoulder Press- 85 max,50-55%x5,60-65%x4,70-75%x3x1-2 belt,video please,,,,,,,,,,,,
bar x8-10,42.5-47.5,50-55,60-65,pause every rep,,,,,,,,,,,,
DB Rear Delt Raises,3-4x8,35-45 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,8-Feb,,,,,,,,,,,,,,,
Equipped Deads - Conventional- 255 max,50%x3 belt SD,60%x3 belt SD ,70%x2-3x1-2 belt  SD,80%x1-2x1-2  belt SD/SU ,87.5-90%x1-2x3-4  belt SU,video please,,,,,,,,,,
"bar x10x2, 75x6x2, 100-110x3 belt",130,155,180,205,222.5-230,,,,,,,,,,,
Equipped Deads off the blocks- Conventional- 255 Max,82.5-85%x1-2 belt SD/SU,92.5-95%x1-2x1-2 belt SU,video please,,,,,,,,,,,,,
bar starts 2-3 inches below the knees,210-217.5,235-242.5,,,,,,,,,,,,,,
Narrow Grip Bench- 175 max,50-52.5%x3,60-62.5%x3x1-2,70-72.5%x2-3x3-4 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 60-70x4-5x1-2",90-92.5,105-110,125-127.5,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 175 max,75-77.5%x3 belt,80-82.5%x2-3x1-2 belt,85-87.5%x2-3x2-3 belt,video please,,,,,,,,,,,,
,130-135,140-145,150-155,pause every rep,,,,,,,,,,,,
DB Rows,1-2x8 ea side,85-115 lb db,pause it at the top and go 2 seconds on the way back down,,video please of the dips,,,,,,,,,,,
Weighted Dips,"bodyweight x5-6, 1-2x3 reps  55-105 lbs",,video please,"head down, knees bent and feet crossed over and behind you, hips pushed forward, down slow, pause the top",,,,,,,,,,,,
Front Elbow Bridge,1-2x:50-:60 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,2-Feb,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
